Authors,Title,Discipline,Source title
Kerbe F.,Founding anniversary of HESCHO - A look back at 100 years of industrial history [Gründungsjubiläum der HESCHO - Ein Rückblick auf 100 Jahre Industriegeschichte],,Keramische Zeitschrift
Josephson P.,Place and Nature: Essays in Russian Environmental History,,Global Environment
Piccioni L.,Six ‘Schools’ at the Roots of Italian Environmental History,,Global Environment
De Majo C.,The Swamp of East Naples: Environmental History of an Unruly Suburb,,Global Environment
"Labelle J.M., Toft M., Matsuda M.",What's the Point?,,Advances in Archaeological Practice
"Schroeder B., Nayapiltzin X.",A Complicated History,,Advances in Archaeological Practice
"O'Grady P., Minick D.L., Stueber D.O.",Making Up for the Past,,Advances in Archaeological Practice
Mills N.S.,Sharing Collections and Sharing Stories,,Advances in Archaeological Practice
Wertz G.W.,Collaborating with Farmers to Recover Indigenous Archaic Period History from Private Lithic Collections in Virginia's Rappahannock River Valley,,Advances in Archaeological Practice
Ruiz-Domènec J.E.,FORTY YEARS AFTER “EL JUEGO DEL AMOR COMO RE-PRESENTACIÓN DEL MUNDO EN ANDRÉS EL CAPELLÁN”: Notes for the reading of a seminar [QUARENTA ANOS APÓS “EL JUEGO DEL AMOR COMO RE-PRESENTACIÓN DEL MUNDO EN ANDRÉS EL CAPELLÁN”: Notas para a leitura de um seminário] [CUARENTA AÑOS DESPUÉS DE “EL JUEGO DEL AMOR COMO RE-PRESENTACIÓN DEL MUNDO EN ANDRÉS EL CAPELLÁN”: NOTAS PARA LA LECTURA DE UN SEMINARIO],,Prometeica
Alcântara W.,SCHOOL AND SCHOOL CULTURE DURING AND POST-PANDEMIC: Paths for reflection [ESCOLA E CULTURA ESCOLAR DURANTE E PÓS-PANDEMIA: CAMINHOS PARA REFLEXÃO] [ESCUELA Y CULTURA ESCOLAR DURANTE Y POSPANDÉMICA: Caminos de reflexión],,Prometeica
López S.G.,THE PHYSIOLOGY of LOVE: Francesco Patrizi' s dialogue on kissing [A FISIOLOGIA DO AMOR: O diálogo de Francesco Patrizi sobre o beijo] [LA FISIOLOGÍA DEL AMOR: EL DIÁLOGO DE FRANCESCO PATRIZI SOBRE LOS BESOS],,Prometeica
Moubayed A.-M.,"A Polysemic Interpretation of the West Façade of Saint-Martin-de-Besse: Time, Space, and Chiasmus Carved in Stone",,Religions
Nguyen U.,Guerillas in the City: The Administrative Takeover of Hà Noi and DRV State-Making in the Urban Postwar Period (1954-1960),,Journal of Vietnamese Studies
Pha K.P.,"Fly Until You Die: An Oral History of Hmong Pilots in the Vietnam War. New York: Oxford University Press, 2019. 232 pages., by Chia Youyee Vang; Prisoner of wars: A Hmong fighter pilot's story of escaping death and confronting life. Philadelphia, PA: Temple University Press, 2021. 168 pages., by Chia Youyee Vang with Pao Yang",,Journal of Vietnamese Studies
Boyson R.R.,"Air and atmosphere studies: Enlightenment, phenomenology and ecocriticism",,Literature Compass
Hamri S.,Causal fundamentality,,Synthese
Schmid K.,How human being became the image of God. Democratization processes in ancient Israel [Wie der Mensch zu Gottes Ebenbild wurde. Demokratisierungsprozesse im antiken Israel],,Evangelische Theologie
Hoffmann M.,The Ontological Role of Applied Mathematics in Virtual Worlds,,Philosophies
Davis S.,"Ezekiel, Daniel, and Christian Diet Culture",,Religions
Norseng P.G.,The ‘Last Ice Age’ in maritime history: An introduction,,International Journal of Maritime History
Bagle E.,Ice from ‘nature's factory’,,International Journal of Maritime History
Elías Jiménez A.G.,The 1968 Olympic Games: Conflicting forms of citizenship and nation building in Mexico City,,Mexican Studies - Estudios Mexicanos
Gharala N.L.A.,"“This woman’s resistance to her son’s paying tribute”: Afrodescendant women, family, and royal tribute in New Spain",,Mexican Studies - Estudios Mexicanos
Barghouti D.,"Reviving al-Nabi Musa: Performance, Politics, and Indigenous Sufi Culture in Palestine",,New Theatre Quarterly
Elena E.,"Spinsters, Gamblers, and Friedrich Engels: The Social Worlds of Money and Expansionism in Argentina, 1860s–1900s",,HAHR - Hispanic American Historical Review
"Yu J., Jiang L., Zhou W., Feng Y., Liu X.",Study on power spectral density curve of track geometric irregularity under lateral random earthquake [横向随机地震下震致轨道几何不平顺的功率谱密度曲线研究],,Tumu Gongcheng Xuebao/China Civil Engineering Journal
Cervera-Marzal M.,Hegemony: A Useful Concept in Times of Crisis,,Soundings
Beaudoin R.,Dashon Burton's Song Sermon: Corporeal Liveness and the Solemnizing Breath,,Journal of the Society for American Music
Kief I.J.,In the Southern Half of Our Republic: Cross-Border Writing and Performance in 1960s North Korea,,Journal of Asian Studies
Hadjiev T.S.,“(Not) Her Husband”: Hosea’s God and Ricoeur’s Hermeneutics of Suspicion and Trust,,Religions
Michalopoulos P.,CULTURAL HYBRIDIZATION IN THE AEGEAN EARLY BRONZE AGE: THE POTTERY FROM AIGION IN ACHAEA,,Oxford Journal of Archaeology
"Angulo A.J., Schneider J.",Expanding Our Ways of Seeing through Comparative and International Histories of Education,,History of Education Quarterly
Noort E.,Gandhi’s Use of Scriptures: A Hermeneutic of Nonviolence against Letters That Kill,,Religions
Span C.M.,Sam's Cottonfield Blues,,History of Education Quarterly
Greene V.F.,Mercer's Belles and Sarmiento's Teachers: Female Pedagogues within Two Transcontinental Emigration Projects of the Nineteenth Century,,History of Education Quarterly
"Prytz S.B., Westberg J.","""Arm the Schoolmistress!"" Loneliness, Male Violence, and the Work and Living Conditions of Early Twentieth-Century Female Teachers in Sweden",,History of Education Quarterly
Pasierowska R.,"All aboard the King George and Happy Captive: European shipnaming practices in the trans-Atlantic slave trade, 1750–1755",,International Journal of Maritime History
Sarkar A.,“Folly of the Fiction” and the “Native Taste”: Cultural Interfaces in Two Bengali Adaptations of Cymbeline,,Literature Compass
Lempa H.,"From Honour to Bildung. Rethinking the Body in Making German Civil Society, 1750–1850",,Journal of Modern European History
Sánchez R.,Our Ancestors the Gauls. Eugène Sue and the Mysteries of the French People [Nuestros ancestros los galos. Eugène Sue y los misterios del pueblo francés],,Historia Contemporanea
Llano G.R.,The Somatén and the Unión Patriótica in Álava (1923-1930) [El Somatén y la Unión Patriótica en Álava (1923-1930)],,Historia Contemporanea
Syväsalmi E.,Excitement and prey: Captains’ wives and the experience of marine animals on US whaling ships in the nineteenth century,,International Journal of Maritime History
"Zambon O., Aechtner T.",Evolving Religion-Science Perspectives of the Bhaktivedanta Institute and ISKCON,,Nova Religio
Furuhata Y.,Weathering with You: Mythical Time and the Paradox of the Anthropocene,,Representations
Mukherjee D.,The Aesthetic and Material Force of Landscape in Cinema: Mediating Meaning from the Scene of Production,,Representations
Gazi A.,“... Stories behind History”,,Public Historian
Lu D.,Rediscovering a Jesuit Legacy of Natural History: Pierre-Martial Cibot and Sino-European Exchange of Fungus Knowledge in the Late 18th and 19th Centuries,,Journal of Modern European History
Wells J.C.,Performing Invisible Stories through Creative History,,Public Historian
Snoek C.,From 'clubs' to 'clocks': Lexical semantic extensions in Dene languages,,Cognitive Linguistics
Vergara A.,An Eruption of History in Peru's Bicentenary,,Current History
Meyers S.,History and Divisions in Nicaragua's Disability Rights Movement,,Current History
Thomas B.,Building a People's History of West Oakland: A Review of the Women of the Black Panther Party Mural and Mini Museum and Black Liberation Walking Tour,,Public Historian
"Bush J., Kocher R., Lepper B.",The Newark Holy Stones,,Public Historian
"Abdinnour S., Meinecke R., Parcell L., Price J.M.",Serving up a Slice of Entrepreneurship on Campus,,Public Historian
[No author name available],The 2020 Contemporary European History Prize,,Contemporary European History
Lynch M.,The Future of Islamism through the Lens of the Past,,Religions
"Haas J., O’grady K.A., Fox J.D., Schuermann H., Toscano M.E., Taylor C.-S.",Responses to the 2014 Police Shooting of Michael Brown: Cosmology Episodes and Enacted Environments,,Religions
Pradier A.,Free Beauty and Functional Perspective in Medieval Aesthetics,,Religions
Bonfield S.,Society for the History of Psychology news and notes,,History of psychology
Moskowitz K.,International development in Africa: Historiographical themes and new perspectives,,History Compass
Jebari I.,"Illegitimate Children: The Tunisian New Left and the Student Question, 1963-1975",,International Journal of Middle East Studies
"Gustafson J., Speer J.","Environmental Crises at the End of Safavid History: The Collapse of Iran's Early Modern Imperial Ecology, 1666-1722",,International Journal of Middle East Studies
Kuzuoǧlu U.,The Chinese Latin Alphabet: A Revolutionary Script in the Global Information Age,,Journal of Asian Studies
"Pessanha F., Salah A.A.",A Computational Look at Oral History Archives,,Journal on Computing and Cultural Heritage
Hore J.,Settlers in Earthquake Country: Apprehending Instability in New Zealand and California,,Pacific Historical Review
Flynt M.,"Mapping the Good Neighbor: Cartography and American Tourism in Mexico, 1930-1945",,Pacific Historical Review
Schencking J.C.,"Generosity Betrayed: Pearl Harbor, Ingratitude, and American Humanitarian Assistance to Japan in 1923",,Pacific Historical Review
Wales K.,"Charles Dickens, children’s author: Narrative as rhetoric in A Child’s History of England",,Language and Literature
Haustgen T.,Jean Garrabé and the history of psychiatry in the Annales Médico-Psychologiques [Jean Garrabé et l'histoire de la psychiatrie dans les Annales Médico-Psychologiques],,Annales Medico-Psychologiques
"Parrinello G., Bécot R., Caligari M., Yrigoy I.",Shifting Shores of the Anthropocene: The Settlement and (Unstable) Stabilisation of the North-Western Mediterranean Littoral Over the Nineteenth and Twentieth Centuries,,Environment and History
"Zhan F., Sun C.",The development of the Chinese discourse marker and expressive wanle,,Journal of Pragmatics
Krasnodębski M.,The Social Construction of Pine Forest Wastes in Southwestern France During the Nineteenth and Twentieth Centuries,,Environment and History
"Gaynor A., Broomhall S., Flack A.",Frogs and Feeling Communities: A Study in History of Emotions and Environmental History,,Environment and History
Baker-Médard M.,Of Whales and Dugongs: Examining the Rise of Colonial Conservation as Development in Madagascar’s Marine History,,Environment and History
"Shi X., Zheng Y.",Sexual Victimization in Adulthood and Associated Factors Among Men and Women: Cross-Sectional Evidence from Mainland China,,Archives of Sexual Behavior
"Lee D.S., Kim A.J., Anderson B.A.",The influence of reward history on goal-directed visual search,,"Attention, Perception, and Psychophysics"
"Leone K.L., Lepper B.T., Eren M.I., Pansing L.L.","Late Holocene radiocarbon dates for the Welling site (33CS441): A multi-component site in Coshocton County, Ohio",,Journal of Archaeological Science: Reports
Tiberghien D.,"Jules Renaux (1887–1942), Léon-Paul Pruvost (1887–1938), Félix Guillot (1892–1930), Jacques Tison (1881–1961) and Jean-Maurice Durand-Saladin (1893–1964): Directors or assistants at the Suresnes health center founded by Gustave Bouchereau (1835–1900), Gustave Lolliot (1837–1882) ans Valentin Magnan (1835–1916) en 1875 [Jules Renaux (1887–1942), Léon-Paul Pruvost (1887–1938), Félix Guillot (1892–1930), Jacques Tison (1881–1961) et Jean-Maurice Durand-Saladin (1893–1964) : des médecins directeurs ou adjoints à la maison de santé de Suresnes fondée par Gustave Bouchereau (1835–1900), Gustave Lolliot (1837–1882) et Valentin Magnan (1835–1916) en 1875]",,Annales Medico-Psychologiques
"Vogt D., Borowski S.C., Godier-McBard L.R., Fossey M.J., Copeland L.A., Perkins D.F., Finley E.P.",Changes in the health and broader well-being of U.S. veterans in the first three years after leaving military service: Overall trends and group differences,,Social Science and Medicine
Jepsen P.,Critical theory and the future of humanity: A reply to Asger Sørensen,,Philosophy and Social Criticism
"McGlacken R., Hobson-West P.",Critiquing imaginaries of ‘the public’ in UK dialogue around animal research: Insights from the Mass Observation Project,,Studies in History and Philosophy of Science
"Berger D., Wang Q., Brügmann G., Lockhoff N., Roberts B.W., Pernicka E.",The Salcombe metal cargoes: New light on the provenance and circulation of tin and copper in Later Bronze Age Europe provided by trace elements and isotopes,,Journal of Archaeological Science
Douglas B.,Darwin and the French: The species question and ‘man’ in Oceania,,Studies in History and Philosophy of Science
"Simms A.R., Best L., Shennan I., Bradley S.L., Small D., Bustamante E., Lightowler A., Osleger D., Sefton J.",Investigating the roles of relative sea-level change and glacio-isostatic adjustment on the retreat of a marine based ice stream in NW Scotland,,Quaternary Science Reviews
Gauld C.,Clinical practice and pluralisms in psychiatry [Pratique clinique et pluralismes en psychiatrie],,Annales Medico-Psychologiques
Dikici E.,"Nationalism is dead, long live nationalism! In pursuit of pluralistic nationalism: A critical overview",,Ethnicities
Sen A.,Genealogies of exception: Writing histories of North-East India,,History Compass
