Authors,Title,Discipline,Source title
Havlin T.,Multilingualism and Translanguaging in Migration Studies: Some Methodological Reflections [Mehrsprachigkeit und Translanguaging in Migrationsstudien: einige methodologische Überlegungen],,Forum Qualitative Sozialforschung
"Muylle M., Van Assche E., Hartsuiker R.J.",Comparing the cognate effect in spoken and written second language word production,,Bilingualism
"Wach A., Zhang D., Nichols-Besel K.",Grammar instruction through multinational telecollaboration for pre-service teachers,,ReCALL
Gholami L.,Incidental Focus-on-Form Characteristics: Predicting Learner Uptake. Formulaic vs. Non-Formulaic Forms,,Vigo International Journal of Applied Linguistics
"Schönström K., Hauser P.C.",The sentence repetition task as a measure of sign language proficiency,,Applied Psycholinguistics
"Mooijman S., Schoonen R., Roelofs A., Ruiter M.B.",Executive control in bilingual aphasia: A systematic review,,Bilingualism
"Booton S.A., Hodgkiss A., Mathers S., Murphy V.A.",Measuring knowledge of multiple word meanings in children with English as a first and an additional language and the relationship to reading comprehension,,Journal of Child Language
Díaz V.,Minds in action: Evidence that linguistic diversity helps children build a theory of mind,,Bilingualism
"Yu B., Zadorozhnyy A.",Developing students' linguistic and digital literacy skills through the use of multimedia presentations,,ReCALL
Carlà A.,Securitizing Borders: The Case of South Tyrol,,Nationalities Papers
Rooy R.V.,Contrastive grammar in the Renaissance The subtle presence of Greek in Jean Pillot's French grammar (1550/1561),,Languages in Contrast
Zaychenko K.,Grammatical and cognitive factors shaping the conceptualization of motion events A cross-linguistic investigation of language production and memory performance,,Languages in Contrast
"Nova F.F., Coupe A., Mynatt E.D., Guha S., Pater J.A.",Cultivating the Community,,Proceedings of the ACM on Human-Computer Interaction
Huang S.-M.,Indigenous heritage in diplomacy: repositioning Taiwan in the Austronesian network and its cultural implications,,Journal of Cultural Heritage Management and Sustainable Development
"Paradis J., Sorenson Duncan T., Thomlinson S., Rusk B.",Does the Use of Complex Sentences Differentiate Between Bilinguals With and Without DLD? Evidence From Conversation and Narrative Tasks,,Frontiers in Education
Lirola M.M.,Critical analysis of the main discourses of the Spanish press about the rescue of the ship Aquarius,,Communication and Society
"Bhatia A., Ross A.S.","We shall not flag or fail, we shall go on to the end"" : Hashtag activism in Hong Kong protests",,Journal of Language and Politics
"Andino-Enríquez J.E., Andino-Enríquez M.A., Hidalgo-Baéz F.E., Chalán-Gualán S.P., Gualapuro-Gualapuro S.D., Belli S., Chicaiza-Lema M.B.",Adaptation of the Periodic Table to Kichwa: An Ecuadorian Native Language,,Journal of Chemical Education
"Lee E.N., Orgill M.",Toward Equitable Assessment of English Language Learners in General Chemistry: Identifying Supportive Features in Assessment Items,,Journal of Chemical Education
"Brown M., Bruns D., Macnamara G., O'hara J.",Culturally responsive classroom-based assessment: A case study of secondary schools in Ireland,,Revista de Investigacion Educativa
"Jankowiak K., Lehka-Paul O.",Novel metaphor translation is modulated by translation direction,,Applied Psycholinguistics
Miyamoto K.,The emergence of 'Transeurasian' language families in Northeast Asia as viewed from archaeological evidence,,Evolutionary Human Sciences
Ortiz Aguilar W.,NEUTROSOPHICAL EVALUATION OF THE APPLICATION OF PROBLEM-BASED LEARNING IN THE FIELD OF DIFFERENTIAL EQUATIONS [EVALUACIÓN NEUTROSÓFICA DE LA APLICACIÓN DEL APRENDIZAJE BASADO EN PROBLEMAS EN EL CAMPO DE LAS ECUACIONES DIFERENCIALES],,Universidad y Sociedad
"Marques A., Santos M.E.","Oral language of school-aged children born pretermaturely: A population-based analysis from Madeira Island, Portugal [El lenguaje oral de los niños en edad escolar nacidos prematuramente: un análisis basado en la población de la isla de Madeira, Portugal]",,Revista de Investigacion en Logopedia
"Rodríguez V.M.A., Santana G.M.R., Cruz A.D., Del Valle Hernández Y.N.",Specific Language Impairment and Autism Spectrum Disorder: Similarities and differences in narrative discourse [Trastorno Específico del Lenguaje y Trastorno del Espectro Autista: similitudes y diferencias en el discurso narrativo],,Revista de Investigacion en Logopedia
"Escamilla J.E.G., García M.A., Lamegos J.T.",Use of clitic pronouns in aphasic speakers with agrammatism. A study from Spanish [El uso de pronombres clíticos en hablantes afásicos con agramatismo. Un estudio desde el español],,Revista de Investigacion en Logopedia
Zabrocka M.,The value of audio description for the therapy of speech-communicative disorders [El valor de la audiodescripción en el tratamiento de los trastornos del habla y de la comunicación],,Revista de Investigacion en Logopedia
"Sobrino M.Á.O., Vidales N.L., Pérez J.C.G.","Educommunication, web radio and non-formal education in an erasmus+ context: The europa on air experience [Educomunicación, webradio y educación no formal en un contexto erasmus+: La experiencia de europa on air]",,RIED-Revista Iberoamericana de Educacion a Distancia
"Kruger J.-L., Wisniewska N., Liao S.",Why subtitle speed matters: Evidence from word skipping and rereading,,Applied Psycholinguistics
"Solati F., Chowdhury M., Jackson N.",English and French language ability and the employability of immigrants in Canada,,International Journal of Social Economics
"Arnawa N., Geria A.A.G.A., Arsana I.G.L.R.",Indonesian Language Characteristics of Deaf Children and Implications for Literacy Skills,,Theory and Practice in Language Studies
Lu S.,A Study on Peach Blooms Painted With Blood From the Perspective of Foreignization,,Theory and Practice in Language Studies
Huang C.,Metaphor Analysis in Political Discourse Based on Discourse Dynamics Framework for Metaphor: A Case Study*,,Theory and Practice in Language Studies
"Kushch E., Bialyk V., Zhykharieva O., Stavtseva V., Taran S.",Lexical Quantors: From Term to Discursive Practice,,Theory and Practice in Language Studies
"McCarthy P.M., Kaddoura N.W., Al-Harthy A., Thomas A.M., Duran N.D., Ahmed K.",Corpus Analysis on Students’ Counter and Support Arguments in Argumentative Writing,,Pegem Egitim ve Ogretim Dergisi
"Asif M., Sheeraz M., Sacco S.J.",Evaluating the Impact of Technological Tools on the Academic Performance of English Language Learners at Tertiary Level: A Pilot Investigation,,Pegem Egitim ve Ogretim Dergisi
"Ahsanuddin M., Hanafi Y., Basthomi Y., Taufiqurrahman F., Bukhori H.A., Samodra J., Widiati U., Wijayati P.H.",Building a Corpus-Based Academic Vocabulary List of Four Languages,,Pegem Egitim ve Ogretim Dergisi
"Koptleuova K., Khairzhanova A., Jumagaliyeva U., Baiseuova G., Kurmangalieva A.",Contrastive Analysis of Cross-Linguistic Interference of Trilingual Oil Workers,,Eurasian Journal of Applied Linguistics
"Vakhitova T., Kuzembayeva G., Yergazina A., Zhumakhanova A., Khayrullina R.",Kazakh and Russian Kinship Terminology: A Comparative Linguistic and Cultural Analysis of Lacunae,,Eurasian Journal of Applied Linguistics
"Pinchuk A.N., Karepova S.G., Tikhomirov D.A.","TRANSPROFESSIONAL EDUCATION IN THE STUDENT DISCOURSE: DEMAND, EXPECTATIONS, RISKS [ТРАНСПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАНИЕ В СТУДЕНЧЕСКОМ ДИСКУРСЕ: ВОСТРЕБОВАННОСТЬ, ОЖИДАНИЯ, РИСКИ]",,Obrazovanie i Nauka
Peterson J.,A sociolinguistic-typological approach to the linguistic prehistory of South Asia Two case studies,,Language Dynamics and Change
Tavares V.,"Exploring the Impact of Notions of Success based on Native-Speakerism, Individualism and Neoliberalism on ESL Students’ Identities",,Language Policy(Netherlands)
"Scholze A., Potkonjak S., Marcel F., Folinazzo G., Townend N.",Scenarios for Learning – Scenarios as Learning: A Design-Based Research Process,,Educational Linguistics
"Veshneva I., Bolshakov A.A.",Construction of Digital Twins of Socio-Economic Systems Using Mathematical Models Based on Status Functions,,"Studies in Systems, Decision and Control"
"Galante A., Schmor R.",Introduction,,Educational Linguistics
"Potkonjak S., Moore J., Corbiere M.A.",Action-Oriented Scenarios in the Anishinaabemowin Context: Linking Pedagogical Innovation with Local Resources for Language Revitalization,,Educational Linguistics
Rodríguez Ledesma N.,Changes in progress in late Northumbrian: The extension of - S as genitive and plural marker,,English Language and Linguistics
"Zinovieva E.I., Alyoshin A.S.","The family in comparative paremies of Tuvan, Swedish and Russian languages [Семья в компаративных паремиях тувинского, шведского и русского языков]",,New Research of Tuva
R’boul H.,"ELT in Morocco: Postcolonial Struggles, Linguistic Imperialism and Neoliberal Tendencies",,Language Policy(Netherlands)
Seliverstova E.I.,Binary structures in Tuvan proverbs as a manifestation of the nationally marked vision of the world [Бинарные структуры в тувинских пословицах как проявление национально-маркированного видения мира],,New Research of Tuva
"Ben Khelil C., Ben Othmane Zribi C., Duchier D., Parmentier Y.",Generating Arabic TAG for syntax-semantics analysis,,Natural Language Engineering
Bochina T.G.,Contrast in Tuvan Proverbs [Контраст в тувинских пословицах],,New Research of Tuva
Tescari Neto A.,"""Adverbs and functional heads"" twenty years later: Cartographic methodology, verb raising and macro/micro-variation",,Linguistic Review
"Emaletdinova L., Kabirova A., Kulagin I.",Building a Fuzzy Model to Automate the Search for Product Names in Procurement Documentation for a Shipbuilding Plant,,"Studies in Systems, Decision and Control"
Canh L.V.,Working towards Centrally Determined Levels of Proficiency: Uncovering the Neoliberal Standardization in the Vietnam-Produced ELT Textbooks,,Language Policy(Netherlands)
"Odyntsova H., Kondratieva T.",APHORISMS AS MEANS OF INTERPRETING OF LINGUISTIC TERMS: PECULIARITIES OF DEFINING [АФОРИЗМЫ КАК СРЕДСТВА ИНТЕРПРЕТАЦИИ ЛИНГВИСТИЧЕСКИХ ТЕРМИНОВ: ОСОБЕННОСТИ ДЕФИНИРОВАНИЯ],,Folia Linguistica et Litteraria
Hagel S.,Ancient 'Solmisation' and the Meaning of Notes,,Greek and Roman Musical Studies
"Germain-Rutherford A., Karamifar B.",Conceptualizing Innovation in Language Education: Holistic and Reflective Teaching and Learning,,Educational Linguistics
Eichler J.,The transformative forces of international law? Questioning equality regimes from a multi-level perspective,,Global Constitutionalism
"Galante A., Chen L.",Advancing Plurilingual and Pluricultural Competence in the Language Classroom,,Educational Linguistics
"Kotenko I., Parashchuk I.",Construction of Membership Functions for Fuzzy Management of Security Information and Events,,"Studies in Systems, Decision and Control"
"Piccardo E., Payre-Ficout C.","Plurilingualism: Integrating Languages and Cultures in a Personally Reflective, and Socially Mediated Process",,Educational Linguistics
"Gaskins D., Frick M.",Embodiment in directive sequences: The case of triadic interactions in a Polish-English bilingual family,,International Journal of Bilingualism
Hwang J.,Bible Translation as Contextual Theology the Case of the Chinese Union Version Bible of 1919,,International Journal of Asian Christianity
